ARANHA,3.49,2.26,5.62,2.85
ARMA,2.24,2.50,6.97,2.50
ARMAMENTO,2.17,1.65,6.45,2.97
ARMÁRIO,6.11,1.72,3.21,2.20
ARREPENDIDO,3.46,2.46,5.20,2.64
ARROGANTE,2.05,1.90,6.32,2.77
ARRUMADO,7.78,1.82,3.24,2.39
ARTE,8.08,1.50,3.68,3.21
ÁRVORE,7.98,1.46,2.27,2.19
ÁS,5.71,2.00,3.84,2.60
ÁSPERO,3.38,2.34,5.49,2.53
ASSALTANTE,2.03,2.25,7.24,2.70
ASSALTO,1.47,1.10,7.67,2.25
ASSAR,6.24,2.73,3.92,2.70
ASSASSINO,1.16,0.80,7.51,2.50
ASSENTO,5.87,2.07,3.05,2.20
ASSOVIO,6.15,2.15,4.48,2.62
ASSUSTADO,2.89,2.17,6.00,2.54
ASTRONAUTA,5.81,1.66,3.84,2.45
ATADURA,2.87,2.26,4.50,2.89
ATERRORIZADO,1.79,1.46,7.32,2.53
ATIVAR,7.19,1.82,4.19,2.60
ATLETISMO,7.31,2.13,4.27,2.50
ATRAÇÃO,8.22,1.49,4.84,3.43
AURORA,6.96,2.21,3.02,2.42
AUTONOMIA,7.71,1.92,4.29,3.10
AVALANCHE,2.32,2.10,6.02,2.90
AVENIDA,5.84,1.84,3.76,2.40
AVENTURA,8.06,1.53,6.33,2.97
AVÔ,7.18,2.80,4.05,2.90
AZEDO,2.87,2.04,4.42,2.13
AZUL,7.42,2.32,3.37,2.78
BACIA,4.68,1.84,3.59,2.53
BAGUNÇADO,3.21,2.28,5.92,2.61
BALA,6.98,1.99,3.44,2.45
BANDEIRA,6.32,1.65,3.00,2.25
BANHEIRA,8.00,1.37,3.00,2.69
BANHEIRO,6.82,1.72,3.00,2.51
BANHO,8.29,1.50,2.61,2.74
BANQUETA,5.84,1.98,2.61,1.76
BARATA,2.83,1.89,5.23,3.17
BARRA,4.74,1.91,4.37,2.38
BARRIL,5.85,2.11,4.28,2.58
BASTARDO,3.42,2.50,4.16,2.66
BEBÊ,8.21,1.41,3.71,2.73
BEBIDA,6.03,2.79,4.08,3.03
BECO,3.02,2.06,5.80,2.90
BEIJO,8.76,0.79,5.24,3.74
BELEZA,8.09,1.25,3.91,2.84
BELISCAR,3.71,2.37,4.82,2.66
BELO,7.73,1.77,3.29,2.53
BENZER,6.50,2.06,2.76,2.68
BERÇÁRIO,7.60,1.70,3.30,2.33
BERRAR,3.63,2.36,6.21,2.73
BESTA,2.45,1.93,5.30,2.76
BISPO,5.68,2.51,2.71,2.40
BLASFÊMIA,2.63,1.78,5.71,2.60
BOBAGEM,4.84,2.48,4.76,2.78
BOLINHO,7.50,1.54,3.40,2.47
BOLO,7.37,2.01,3.26,2.64
BOM,8.19,1.53,3.36,2.65
BOMBA,1.53,1.39,6.87,2.56
BONECA,5.57,2.19,3.05,2.24
BONITO,8.42,1.41,3.45,2.94
BORBOLETA,7.38,1.82,2.56,1.88
BOXEADOR,4.13,2.50,5.34,2.50
BRABEZA,2.83,2.15,6.02,2.71
BRABO,2.26,1.83,6.05,2.70
BRAÇO,6.35,2.12,3.64,2.12
BRANCO,7.18,2.08,2.61,2.47
BRAVO,2.56,2.20,6.31,2.87
BRILHANTE,7.45,1.81,3.21,2.43
BRINQUEDO,7.54,1.77,3.56,2.45
BRISA,7.39,2.11,2.76,2.80
BRUTAL,1.98,1.84,6.60,2.77
BUQUÊ,7.42,2.41,3.74,3.19
BURRO,2.96,1.90,4.70,2.73
CABANA,7.21,1.74,3.21,2.68
CABELO,6.67,2.41,3.78,2.64
CACHOEIRA,8.14,1.65,3.84,3.35
CACHORRO,7.98,1.46,3.98,2.80
CADÁVER,1.70,1.63,6.08,2.95
CADEIA,2.02,1.97,5.70,3.20
CADEIRA,6.30,1.81,2.76,1.72
CADERNO,5.76,1.85,4.02,2.15
CAIXÃO,1.92,1.85,6.08,3.13
CALOR,6.14,2.68,5.35,2.76
CAMA,8.08,1.36,3.28,2.93
CAMINHÃO,4.96,1.76,4.27,2.25
CAMPEÃO,8.43,1.21,5.03,3.34
CAMPO,7.61,1.78,3.09,2.79
CANÇÃO,8.35,1.53,3.70,3.31
CÂNCER,1.49,1.19,6.98,2.84
CANHÃO,2.38,1.99,5.78,2.62
CANSADO,2.39,1.88,5.39,3.26
CAOS,2.05,2.00,6.51,2.79
CAPAZ,7.63,1.88,4.89,2.95
CARCAÇA,3.75,2.23,4.29,2.72
CÁRCERE,1.89,1.55,5.95,2.84
CARÍCIA,8.78,0.58,4.42,3.51
CÁRIE,2.27,1.92,5.71,2.91
CARINHOSO,8.73,0.80,4.42,3.52
CAROÇO,3.81,1.83,4.49,2.77
CARRO,7.95,1.78,4.36,3.19
CARTA,7.02,2.05,4.20,2.37
CASA,8.14,1.58,3.35,2.99
CASAL,7.84,1.91,4.09,3.05
CASAMENTO,7.59,2.03,4.57,3.27
CASSINO,5.21,2.71,4.98,2.71
CAVALO,6.89,1.93,3.24,2.68
CAVEIRA,2.61,1.77,5.07,2.75
CÉDULA,7.43,2.10,4.76,2.86
CEFALÉIA,2.92,1.89,5.47,2.67
CEGO,2.35,1.87,4.68,2.65
CÉLULA,5.06,2.06,3.02,2.20
CEMITÉRIO,2.22,1.90,5.27,3.06
CESTA,6.06,1.71,3.33,2.28
CÉTICO,4.89,1.80,3.61,1.96
CÉU,8.10,1.21,2.76,2.30
CHACINA,1.43,1.48,6.86,2.78
CHALEIRA,5.19,1.70,3.02,2.16
CHAMUSCAR,4.46,2.10,4.24,2.37
CHANTAGEM,1.61,1.44,6.84,2.77
CHAPÉU,6.16,1.85,2.54,1.74
CHARME,7.63,1.77,5.35,2.75
CHATEAÇÃO,2.30,2.28,6.00,2.70
CHAVE,5.46,1.79,3.36,2.40
CHOCALHO,5.73,1.94,3.12,2.29
CHOCOLATE,8.08,1.40,4.88,3.03
CHUTE,4.40,2.40,4.27,2.75
CHUVA,5.54,2.51,4.47,2.73
CICATRIZ,3.23,1.99,3.98,2.60
CICLONE,2.67,1.99,6.04,2.77
CIDADE,6.41,2.12,4.71,2.70
CINEMA,8.25,1.40,4.75,3.30
CIRCO,6.77,2.08,3.10,2.49
CÍRCULO,5.29,1.49,3.71,2.31
CIRURGIA,2.85,2.34,5.81,2.80
CIÚME,2.86,1.84,6.05,2.45
COBERTURA,7.33,1.74,3.57,3.08
COBRA,2.68,1.86,6.16,2.73
COELHINHO,7.31,1.68,2.83,2.50
COELHO,6.96,1.70,3.41,2.50
COFRE,6.13,1.83,3.63,2.84
COGUMELO,5.35,1.64,3.35,2.36
COLETE,4.63,1.92,3.00,2.33
COLISÃO,2.40,1.75,6.16,2.66
COLUNA,4.65,2.10,3.92,3.03
COMÉDIA,8.39,1.25,4.40,3.29
COMER,7.42,2.22,4.58,2.94
COMPLACENTE,4.71,1.50,3.95,2.26
COMPROMETIDO,6.33,2.53,4.65,3.08
COMPUTADOR,6.62,1.98,4.66,2.62
CONCENTRADO,6.71,2.14,4.10,2.87
CONFIANÇA,7.97,2.08,4.67,3.31
CONFIANTE,7.42,1.99,4.64,3.09
CONFORTO,8.03,1.53,4.17,3.12
CONFUSO,2.54,1.61,5.83,3.00
CONHECIMENTO,8.29,1.32,5.08,3.32
CÔNJUGE,6.02,2.52,4.23,3.18
CONSOLADO,5.36,2.11,3.55,2.44
CONSTRANGIDO,2.96,1.41,5.15,2.73
CONTENTAMENTO,6.72,2.33,4.18,2.84
CONTEÚDO,7.04,1.87,3.81,2.60
CONTEXTO,5.36,1.56,3.99,2.32
CONTINÊNCIA,4.40,1.91,3.81,2.69
CONTROLE,5.75,2.28,5.04,2.65
COR,7.65,1.63,3.48,2.94
CORAÇÃO,7.73,1.93,4.88,3.17
CORAGEM,7.96,1.65,5.19,3.01
CORDA,4.53,1.72,3.96,2.36
CORDEIRO,5.56,2.05,2.58,2.29
COROA,5.58,1.94,3.76,2.37
CORPO,6.94,2.34,4.67,2.79
CORREDOR,5.30,1.76,4.27,2.54
CORRUPTO,1.63,1.18,6.04,3.11
CORTE,3.30,1.81,5.09,2.69
CORTESIA,8.02,1.42,3.60,2.96
CORTIÇA,5.00,1.32,3.68,2.31
CORTINAS,5.88,1.84,2.42,2.04
CORUJA,5.68,1.86,3.57,2.39
COSTA,5.54,1.92,3.50,2.58
COSTUME,5.42,1.82,3.87,2.45
COTOVELO,4.88,1.72,2.40,2.02
COVARDE,2.51,1.77,5.45,2.66
COZINHEIRO,6.79,2.00,3.40,2.80
CREPÚSCULO,5.34,2.06,4.28,2.54
CRIANÇA,7.92,1.83,4.08,3.04
CRIME,1.72,1.55,6.45,3.00
CRIMINOSO,1.75,1.63,6.27,2.98
CRISE,2.31,1.73,5.97,2.73
CRU,3.58,2.18,3.10,2.69
CRUCIFICAR,2.36,1.62,5.32,2.97
CRUEL,1.67,1.39,5.58,3.10
CULINÁRIA,7.03,2.23,4.51,3.05
CULPADO,2.27,1.57,5.19,2.84
CUPIM,2.99,1.85,4.56,3.03
CURAR,7.83,1.74,4.42,3.09
CURIOSO,6.77,1.82,5.48,2.57
DÁDIVA,7.73,1.75,3.31,2.81
DANÇARINO,6.70,2.20,4.33,3.09
DANO,2.32,1.78,4.72,2.69
DÉBIL,3.13,1.83,3.86,2.55
DÉBITO,2.47,1.82,5.30,2.84
DECEPCIONAR,1.76,1.28,6.09,2.70
DECOMPOR,3.94,2.06,2.92,2.24
DECORAR,6.22,2.78,4.72,2.90
DEDO,5.75,1.87,2.56,2.31
DEFEITO,3.15,1.99,5.17,2.54
DEFICIENTE,3.13,1.91,4.13,2.92
DEFORMADO,2.43,1.78,4.95,2.89
DELEITE,5.53,2.14,2.82,2.37
DELICADO,6.30,2.11,3.72,2.57
DEMÔNIO,2.10,1.67,4.49,3.25
DEMORADO,2.94,2.14,6.00,2.81
DENTISTA,5.18,2.51,4.02,2.65
DEPRESSÃO,1.96,1.55,5.69,3.05
DEPRIMENTE,1.82,1.29,4.88,3.11
DEPRIMIDO,2.20,1.58,5.12,2.73
DERROTADO,1.69,1.33,5.00,3.13
DESAFIANTE,4.37,2.93,5.64,2.86
DESAFIO,7.20,1.97,6.00,2.84
DESAGRADADO,4.83,2.49,5.68,2.38
DESAJEITADO,3.67,1.95,3.65,2.40
DESAMPARADO,2.48,1.65,5.00,2.62
DESANIMADO,1.84,1.30,4.47,3.04
DESASTRE,1.84,1.56,5.97,2.93
DESAVENÇA,1.98,1.42,5.44,2.83
DESCONFORTO,2.31,1.76,5.60,2.86
DESCULPA,5.90,2.67,4.37,2.83
DESDENHOSO,3.01,1.75,4.86,2.52
DESEJO,7.78,1.72,5.06,2.90
DESERTOR,3.72,1.59,4.58,2.19
DESESPERADOR,1.92,1.58,6.12,3.11
DESINTERESSADO,3.46,1.90,5.16,2.65
DESLEAL,1.63,1.30,5.90,3.17
DESLIGADO,3.31,1.86,5.13,2.64
DESPEJAR,4.08,2.04,3.92,2.81
DESPERDÍCIO,3.45,1.89,4.99,2.50
DESPREOCUPADO,5.33,2.70,3.35,2.45
DESPREZAR,2.08,1.67,5.91,2.87
DESPREZO,1.71,1.32,4.96,3.18
DESTACADO,6.82,1.81,4.53,2.57
DESTROÇAR,2.53,1.79,4.39,3.00
DESTRUIÇÃO,2.13,1.93,5.88,2.81
DESTRUIR,2.00,1.68,5.35,3.17
DETALHE,6.36,1.80,4.40,2.67
DETESTAR,2.29,1.71,4.39,3.08
DEUS,8.11,1.54,3.80,3.15
DEVOTADO,5.80,2.01,2.82,2.37
DIABO,2.67,2.20,4.63,2.86
DIAMANTE,7.22,2.09,4.10,2.88
DIGNO,7.69,1.67,4.01,2.75
DINHEIRO,7.20,2.52,5.39,3.03
DIPLOMA,8.33,1.39,6.03,3.05
DIVERSÃO,8.31,1.76,5.16,3.20
DIVERTIDO,8.57,1.26,5.12,3.42
DIVERTIMENTO,8.27,1.56,4.88,3.24
DIVÓRCIO,2.97,2.06,5.29,2.96
DOCE,7.88,1.75,4.46,3.20
DOENÇA,1.77,1.57,5.81,3.20
DOENTE,1.69,1.19,5.29,2.94
DÓLAR,5.45,2.44,5.09,2.73
DOMINADOR,3.96,2.15,4.71,2.80
DOR,1.91,1.65,5.97,2.87
DOUTOR,4.84,2.22,3.86,2.68
DURO,4.41,2.13,4.60,2.64
EDIFÍCIO,5.76,1.88,2.49,1.80
EDUCAÇÃO,8.04,1.75,4.92,3.07
EGOÍSTA,2.04,1.78,5.33,2.89
ELEGANTE,7.38,1.76,4.62,2.68
ELEVADOR,5.37,1.98,3.24,2.39
EMPREGO,7.31,2.18,5.97,2.88
ENCARDIDO,3.08,1.59,4.02,2.53
ENCHARPE,5.59,1.80,3.64,2.34
ENCONTRO,7.67,2.10,5.67,2.86
ENFERMEIRA,5.33,2.20,4.39,2.47
ENFERRUJADO,3.41,1.68,3.25,2.18
ENFURECIDO,2.67,2.09,6.89,2.17
ENGANAÇÃO,1.76,1.56,6.31,2.91
ENJOATIVO,2.63,1.50,4.72,2.45
ENLAMEADO,3.57,1.83,3.65,2.54
ENTEDIADO,2.44,1.92,5.19,2.83
ENTERRO,1.65,1.32,5.31,3.31
ENTULHO,3.61,2.12,3.54,6.56
ENTUSIASMO,8.02,1.83,4.78,3.11
ENVERGONHADO,3.29,1.95,5.33,2.42
ERÓTICO,7.31,2.03,4.80,3.21
ERRO,2.43,1.91,6.40,2.57
ERUDITO,5.47,1.97,2.86,2.31
ESBANJAMENTO,3.47,2.29,5.25,2.64
ESCALDANTE,4.20,1.89,3.86,2.76
ESCÂNDALO,3.31,2.22,5.51,2.73
ESCONDER,4.08,1.91,4.51,2.78
ESCORBUTO,3.77,1.94,4.03,2.55
ESCORPIÃO,3.53,2.11,4.61,2.91
ESCRAVO,2.36,2.21,5.82,2.93
ESCRITOR,7.02,1.92,2.57,1.81
ESCRITÓRIO,5.70,2.18,4.41,2.39
ESCURO,4.49,2.26,3.67,2.86
ESFERA,5.43,1.65,3.53,2.43
ESFOMEADO,3.61,2.66,5.22,2.89
ESMAGADO,2.54,1.85,5.46,2.69
ESNOBE,1.96,1.41,5.22,3.03
ESPAÇO,6.88,2.13,4.39,2.79
ESPANTADO,4.47,1.93,4.80,2.87
ESPERANÇA,8.29,1.37,5.04,3.11
ESPERANÇOSO,7.55,1.87,4.08,2.76
ESPINGARDA,2.82,2.28,5.66,2.85
ESPINHO,2.98,1.70,4.45,2.89
ESPÍRITO,6.87,2.04,4.27,2.70
ESPOSA,5.80,2.34,3.71,2.72
ESPUMA,6.77,1.95,3.71,2.75
ESQUINA,4.67,1.45,3.27,2.48
ESTAGNADO,3.54,1.97,4.86,2.31
ESTÁTUA,4.88,2.06,2.53,2.22
ESTERCO,3.26,1.93,3.76,2.60
ESTÔMAGO,5.14,2.15,3.71,2.45
ESTRANGEIRO,6.00,1.91,4.22,2.48
ESTRANHO,4.58,1.73,5.16,1.93
ESTRELA,7.75,2.01,3.57,3.07
ESTRESSE,2.22,1.77,6.51,2.77
ESTUPENDO,3.88,3.47,6.67,3.03
ESTÚPIDO,2.21,1.98,6.18,2.71
ESTUPRO,4.94,3.29,5.10,2.90
EVENTO,7.03,2.40,4.51,2.93
EXAME,4.22,2.13,3.93,11.52
EXCELÊNCIA,6.24,2.13,4.35,2.41
EXCITAÇÃO,7.73,1.75,6.26,3.01
EXCURSÃO,7.82,2.04,4.85,3.15
EXECUÇÃO,3.92,2.92,4.79,2.75
EXERCÍCIO,6.68,2.36,4.70,2.82
EXÉRCITO,4.67,2.30,4.76,2.58
ÊXTASE,7.34,1.92,5.44,2.77
EXULTANTE,5.97,2.10,4.29,2.71
FACA,3.90,1.96,5.21,2.45
FÁCIL,7.31,2.16,3.49,2.91
FAIXA,4.67,1.14,4.24,1.64
FALCÃO,5.82,2.04,3.97,2.52
FALHA,2.03,1.46,6.93,2.18
FALIDO,2.00,1.73,5.40,3.06
FALSO,5.45,3.59,5.03,3.27
FAMA,6.73,2.04,5.38,2.76
FAMÍLIA,7.07,2.22,4.09,3.05
FAMINTO,2.94,2.54,5.70,2.89
FAMOSO,5.76,2.08,4.24,2.23
FANTASIA,7.06,2.08,5.18,2.90
FAROL,6.75,1.99,5.00,2.70
FAROLETE,5.20,1.81,3.40,2.26
FASCINAR,5.37,2.65,4.39,2.51
FASE,5.44,2.24,4.33,2.65
FATIGADO,5.10,2.97,4.72,3.06
FAVELA,1.64,1.25,5.63,2.96
FAVOR,7.62,1.78,3.75,2.71
FAVORITO,7.27,2.07,5.12,2.84
FAZENDA,4.32,3.12,4.43,3.08
FEBRE,2.20,1.65,4.90,2.91
FEDOR,5.58,3.61,5.43,3.43
FEITO,3.17,2.25,4.15,2.64
FELIZ,8.69,1.00,4.13,3.44
FENO,4.65,1.62,3.24,2.29
FERIADO,4.99,3.49,4.55,3.23
FÉRIAS,8.62,1.50,5.87,3.60
FERIDAS,4.29,2.52,4.65,2.51
FERIMENTO,2.54,1.84,5.08,2.59
FERRAMENTA,7.07,2.11,4.78,2.79
FERRO,4.91,1.72,3.84,2.06
FESTA,8.22,1.63,4.49,3.31
FESTIVO,8.09,1.76,5.54,3.31
FILHOTE,6.88,2.03,3.96,2.38
FIRMAMENTO,6.66,2.19,4.00,2.93
FIRME,6.97,2.04,3.94,2.46
FLÁCIDO,2.43,1.97,4.77,2.90
FLEXÍVEL,7.25,2.29,4.06,2.74
FLOR,8.11,1.67,3.17,2.95
FLORESCER,6.38,2.49,3.31,2.49
FOFOCA,2.44,2.29,5.65,3.11
FOGÃO,4.71,2.75,4.76,3.02
FOGO,4.55,2.68,5.35,2.68
FORÇA,4.62,2.46,4.76,2.77
FORTE,7.66,1.66,4.66,3.01
FORTUITO,6.61,2.07,3.91,2.60
FOTOGRAFIA,7.71,1.96,4.61,3.15
FRAGRÂNCIA,5.98,2.51,3.80,2.45
FRAUDE,1.60,1.47,6.00,2.82
FREIRA,4.89,2.49,3.91,2.62
FRÍGIDA,2.43,2.07,4.79,2.78
FRIO,4.45,2.71,4.85,2.70
FRUSTRADO,1.84,1.57,5.84,2.84
FUGA,3.63,2.39,5.26,2.82
FUNERAL,1.52,1.39,4.89,3.34
FUNGO,3.84,1.99,4.65,2.56
FURACÃO,2.72,2.35,6.08,2.84
GABINETE,5.35,1.87,3.88,2.38
GANGRENA,2.64,2.05,4.81,2.81
GARFO,6.12,2.03,3.83,2.47
GAROTOS,6.94,2.28,4.77,2.97
GARRAFA,6.49,2.35,4.19,2.77
GATINHO,7.06,2.72,3.95,3.13
GATO,5.75,2.76,4.04,2.72
GATO,3.47,2.60,5.24,2.76
GELADEIRA,6.86,1.72,3.33,2.61
GELÉIA,5.84,1.96,3.70,2.22
GELEIRA,4.33,2.37,3.59,2.31
GÊNERO,4.33,2.09,4.56,2.10
GENTIL,8.23,1.53,3.38,2.95
GERMES,4.69,2.93,5.46,2.77
GINASTA,6.40,1.93,4.12,2.70
GLAMOUR,5.26,2.04,4.13,2.28
GLÓRIA,8.16,1.58,4.72,3.45
GOLFISTA,4.00,2.09,4.66,2.54
GOLPE,2.20,2.03,5.32,2.95
GORDO,4.78,3.02,4.82,2.92
GOSTO,7.57,1.67,4.31,2.74
GRACINHA,7.15,2.02,3.73,2.82
GRADUADO,8.17,1.69,5.30,3.37
GRAMA,5.75,1.95,3.21,2.12
GRAMADO,7.75,1.85,3.90,3.18
GRAMPOS,6.54,2.37,3.42,2.49
GRANADA,2.00,2.05,6.03,3.16
GRITO,4.42,2.44,6.19,2.31
GROSSO,2.71,1.98,5.88,2.63
GUERRA,1.61,1.62,6.79,2.97
GUILHOTINA,5.56,3.09,4.27,2.92
GULA,3.88,2.54,4.94,2.67
HABILIDADE,6.91,1.91,4.27,2.36
HABITANTE,5.55,1.74,3.34,2.06
HÁBITO,4.13,2.48,4.95,2.39
HEMODIÁLISE,3.78,2.42,4.90,2.94
HEROÍNA,5.35,3.23,4.89,3.18
HIDRANTE,6.45,2.08,3.75,2.47
HIDROFOBIA,3.48,2.16,3.67,2.74
HISTÓRIA,3.54,3.08,5.48,3.23
HOMEM,6.85,2.78,4.47,3.16
HOMICIDA,5.13,3.44,5.54,3.09
HONESTO,8.60,1.20,3.32,5.38
HONRA,4.75,3.43,5.09,3.04
HORRÍVEL,1.98,1.78,5.55,2.84
HORROR,2.54,2.11,5.83,2.90
HOSPITAL,2.75,2.55,5.39,3.18
HOSTIL,5.60,2.97,4.58,2.72
HOTEL,7.11,2.02,3.79,2.84
HUMANITÁRIO,4.58,3.69,5.31,3.34
HUMBÚRGUER,6.91,2.47,4.19,2.80
HUMILDE,7.66,1.88,3.60,2.69
HUMILHAR,4.36,3.34,5.80,3.11
HUMOR,7.97,2.15,5.26,3.50
IATE,6.73,1.98,3.97,2.37
IDÉIA,8.14,1.60,5.31,3.32
IDENTIDADE,7.35,1.92,4.50,2.90
IDIOTA,2.28,2.00,5.28,2.90
ÍDOLO,5.99,2.52,3.73,2.36
IGNORÂNCIA,2.11,1.83,5.57,2.99
IGREJA,4.22,2.75,4.70,2.72
IMAGINAR,8.02,1.69,5.06,3.25
IMATURO,2.85,1.88,5.70,2.66
IMORAL,2.03,1.56,5.00,3.00
IMPLICAR,4.69,2.80,5.47,2.63
IMPOTENTE,2.08,1.54,5.34,3.00
IMPRESSIONADO,6.97,2.42,4.09,2.82
IMUNDÍCIE,1.86,1.74,5.18,2.88
INCENTIVO,4.76,3.25,5.40,2.67
INCOMODADO,2.45,1.90,5.66,2.64
INCOMODAR,2.97,2.22,5.86,2.79
INCUMBÊNCIA,5.02,2.10,4.29,2.30
INDIFERENTE,4.37,2.37,4.59,2.24
INDÚSTRIA,5.63,2.55,4.50,2.50
INFANTE,2.99,2.11,5.24,2.84
INFECÇÃO,1.77,1.54,5.61,2.96
INFELIZ,1.54,1.37,6.20,3.01
INFERIOR,2.49,1.86,4.50,2.73
INFERNO,3.81,2.85,4.88,3.13
INFIEL,2.08,1.97,6.34,3.15
INOCENTE,3.74,2.53,5.45,2.68
INSANO,3.11,1.96,4.61,2.52
INSEGURO,2.26,1.48,6.02,2.55
INSETO,3.54,2.42,5.44,2.68
INSOLENTE,5.67,3.03,4.90,3.00
INSOSSO,3.55,1.92,4.21,2.60
INSPIRADO,4.72,3.51,5.48,3.24
INSPIRAR,7.31,2.15,4.03,3.10
INSULTO,5.28,3.52,4.72,3.32
INTELECTO,6.80,2.37,4.33,2.49
INTELIGENTE,7.81,2.28,4.75,3.26
INTERCURSO,5.02,1.36,2.33,6.42
INTERESSE,4.74,3.21,5.68,2.90
ÍNTIMO,7.27,1.88,4.80,2.84
INTROMETER,2.40,1.81,5.73,2.67
INTROMETIDO,2.52,2.00,5.94,2.56
INTRUSO,2.29,1.65,5.99,2.56
INUNDAÇÃO,1.88,1.68,6.02,2.80
INÚTIL,4.81,2.97,5.63,2.82
INVASOR,2.20,2.14,6.61,2.70
INVESTIR,4.35,3.14,6.16,2.69
IRMÃO,7.78,2.15,5.11,3.00
IRRITAR,4.45,3.02,4.99,3.15
ITEM,5.08,1.33,3.13,2.06
JANELA,7.29,2.13,3.32,2.71
JANTA,7.47,2.02,4.61,2.94
JARDIM,5.85,2.80,4.52,3.03
JARRA,5.72,1.95,3.66,2.57
JIBÓIA,4.96,2.58,4.39,2.86
JOGO,6.34,2.35,4.89,2.66
JÓIA,7.76,1.82,4.19,2.94
JUSTIÇA,6.52,2.95,5.61,2.73
JUVENTUDE,4.51,3.55,5.70,3.20
KETCHUP,5.31,2.54,3.92,2.54
LADRÃO,2.90,2.19,5.40,3.08
LAGO,7.38,2.20,3.82,2.99
LAMA,2.58,2.17,5.36,2.99
LÂMPADA,6.51,2.41,3.82,2.65
LANTERNA,5.95,1.56,3.06,2.21
LÁPIS,6.24,1.62,3.42,2.12
LAR,8.23,1.73,3.43,2.88
LARVA,3.07,1.89,4.27,2.75
LEAL,8.27,1.47,3.21,2.70
LEÃO,5.89,2.16,5.51,2.54
LEITE,6.68,2.10,3.01,2.35
LENDA,6.36,1.69,3.69,2.36
LENTO,3.77,2.07,4.66,2.98
LEPRA,1.87,1.46,4.83,2.99
LÉSBICA,4.01,1.90,3.65,2.72
LETÁRGICO,3.93,1.77,3.31,2.31
LETRA,6.50,2.00,3.40,2.57
LIBERDADE,8.80,0.57,5.27,3.73
LÍDER,6.92,1.96,4.27,2.89
LIGA,5.88,1.47,3.59,2.14
LINDO,8.17,1.43,3.90,3.31
LIVRAR,6.26,2.16,4.31,2.38
LIVRE,8.37,1.48,3.95,3.29
LIVRO,7.18,1.97,4.14,2.75
LIXO,2.48,2.14,5.14,3.00
LODO,2.91,2.17,4.41,2.64
LOIRO,5.97,1.95,3.37,2.48
LOTERIA,7.03,2.15,5.11,2.98
LOUCO,3.87,2.33,4.90,2.79
